"Number of header lines:";"39";
"Experiment";"26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min";
"System Independent Variable";
"Trial name";"Trial     8";
"Trial ID";"7";
"Arena name";"Peltier 5-2";
"Arena ID";"8";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"B";
"Detection settings";"Detection Settings";
"Trial Control settings";"LH_Protocol";
"Start time";"04/22/2017 15:48:29.797";
"Trial duration";"+ 00:07:00.040";
"Recording after";"+ 00:00:00.000";
"Recording duration";"+ 00:07:00.040";
"Track";"Track filet0007a0008o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"E:\Experiment\26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min\Media Files\Trial     8.mpg";
"Video start time";"04/22/2017 15:48:29.797";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"+ 00:07:00.040";
"Reference time";"04/22/2017 15:48:29.797";
"Sof file";"";
"Missed samples";"0.1 %";
"Subject not found";"0.1 %";
"User-defined Independent Variable";
"Peltier";"5";
"Sex";"male";
"Used";"Used";
"Experimenter";"Hu";
"Protocol";"B";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Movement";"Pretest";"Training";"Test";
"s";"s";"mm";"mm";"mm?";"mm?";"";"";"";"";"";
0.000;0.000;-21.08;14.5703;3.00191;0.529749;0.384809;"-";1;0;0;
0.040;0.040;"-";"-";"-";"-";"-";"-";1;0;0;
0.080;0.080;"-";"-";"-";"-";"-";"-";1;0;0;
0.120;0.120;"-";"-";"-";"-";"-";"-";1;0;0;
0.160;0.160;-20.9376;14.587;3.17849;0.353166;0.515148;"-";1;0;0;
0.200;0.200;-21.0661;14.5752;3.53166;0.353166;0.592607;0;1;0;0;
0.240;0.240;-20.966;14.5691;3.26679;0.264875;0.501299;0;1;0;0;
0.280;0.280;-21.1807;14.5769;3.26679;0.529749;0.505218;0;1;0;0;
0.320;0.320;-21.08;14.5703;3.00191;0.264875;0.384809;0;1;0;0;
0.360;0.360;-20.966;14.5691;3.26679;0.264875;0.501299;0;1;0;0;
0.400;0.400;-21.0661;14.5752;3.53166;0.264875;0.592607;0;1;0;0;
0.440;0.440;-21.0969;14.6418;3.79654;0.264875;0.486543;0;1;0;0;
0.480;0.480;-20.966;14.5691;3.26679;0.529749;0.501299;0;1;0;0;
0.520;0.520;-21.0528;14.5906;2.91362;0.353166;0.407404;0;1;0;0;
0.560;0.560;-21.0661;14.5752;3.53166;0.618041;0.592607;0;1;0;0;
0.600;0.600;-21.0661;14.5752;3.53166;0;0.592607;0;1;0;0;
0.640;0.640;-20.966;14.5691;3.26679;0.264875;0.501299;0;1;0;0;
0.680;0.680;-21.08;14.5703;3.00191;0.264875;0.384809;0;1;0;0;
0.720;0.720;-21.1807;14.5769;3.26679;0.264875;0.505218;0;1;0;0;
0.760;0.760;-21.0661;14.5752;3.53166;0.264875;0.592607;0;1;0;0;
0.800;0.800;-21.0661;14.5752;3.53166;0;0.592607;0;1;0;0;
0.840;0.840;-21.1807;14.5769;3.26679;0.264875;0.505218;0;1;0;0;
0.880;0.880;-21.0661;14.5752;3.53166;0.264875;0.592607;0;1;0;0;
0.920;0.920;-20.966;14.5691;3.26679;0.264875;0.501299;0;1;0;0;
0.960;0.960;-21.08;14.5703;3.00191;0.264875;0.384809;0;1;0;0;
1.000;1.000;-21.1807;14.5769;3.26679;0.264875;0.505218;0;1;0;0;
