"Number of header lines:";"39";
"Experiment";"26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min";
"System Independent Variable";
"Trial name";"Trial     5";
"Trial ID";"4";
"Arena name";"Peltier 6-2";
"Arena ID";"10";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"A";
"Detection settings";"Detection Settings";
"Trial Control settings";"LH_Protocol";
"Start time";"04/22/2017 15:09:44.017";
"Trial duration";"+ 00:07:00.040";
"Recording after";"+ 00:00:00.000";
"Recording duration";"+ 00:07:00.040";
"Track";"Track filet0004a0010o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"E:\Experiment\26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min\Media Files\Trial     5.mpg";
"Video start time";"04/22/2017 15:09:44.017";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"+ 00:07:00.040";
"Reference time";"04/22/2017 15:09:44.017";
"Sof file";"";
"Missed samples";"0.1 %";
"Subject not found";"0.1 %";
"User-defined Independent Variable";
"Peltier";"6";
"Sex";"male";
"Used";"Used";
"Experimenter";"Hu";
"Protocol";"A";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Movement";"Pretest";"Training";"Test";
"s";"s";"mm";"mm";"mm?";"mm?";"";"";"";"";"";
0.000;0.000;88.2195;-2.73771;3.35776;6.5388;0.645881;"-";1;0;0;
0.040;0.040;"-";"-";"-";"-";"-";"-";1;0;0;
0.080;0.080;"-";"-";"-";"-";"-";"-";1;0;0;
0.120;0.120;"-";"-";"-";"-";"-";"-";1;0;0;
0.160;0.160;88.1927;-2.7517;3.09268;0.79526;0.582465;"-";1;0;0;
0.200;0.200;87.8873;-2.68309;3.18104;0.971984;0.510493;1;1;0;0;
0.240;0.240;87.8205;-2.67128;3.09268;0.265087;0.543122;1;1;0;0;
0.280;0.280;87.7719;-2.63488;3.09268;0.176724;0.552088;0;1;0;0;
0.320;0.320;87.6415;-2.62578;3.2694;0.883622;0.565621;0;1;0;0;
0.360;0.360;87.6415;-2.67001;3.35776;0.971984;0.387117;0;1;0;0;
0.400;0.400;87.5424;-2.67532;3.18104;0.353449;0.332908;0;1;0;0;
0.440;0.440;87.5415;-2.57083;3.35776;0.353449;0.487291;0;1;0;0;
0.480;0.480;87.4745;-2.47715;3.2694;0.441811;0.48759;0;1;0;0;
0.520;0.520;87.5415;-2.57083;3.35776;0.441811;0.487291;0;1;0;0;
0.560;0.560;87.3938;-2.78909;3.35776;1.23707;0.501368;0;1;0;0;
0.600;0.600;87.2675;-2.53738;3.18104;1.23707;0.559955;0;1;0;0;
0.640;0.640;87.0712;-2.42415;2.73923;0.971984;0.416852;0;1;0;0;
0.680;0.680;86.9037;-2.2719;3.35776;0.79526;0.434169;1;1;0;0;
0.720;0.720;86.6147;-2.10218;3.18104;1.23707;0.353881;1;1;0;0;
0.760;0.760;86.5207;-2.07146;3.2694;0.618535;0.44319;1;1;0;0;
0.800;0.800;86.4865;-2.2168;3.09268;0.706898;0.299804;1;1;0;0;
0.840;0.840;86.2166;-2.20565;3.09268;0.883622;0.39465;1;1;0;0;
0.880;0.880;86.0561;-2.22943;3.35776;0.618535;0.445598;1;1;0;0;
0.920;0.920;85.9405;-2.23563;3.00431;0.353449;0.402955;1;1;0;0;
0.960;0.960;85.8065;-2.37029;3.18104;0.883622;0.510493;1;1;0;0;
1.000;1.000;85.5706;-2.49877;3.35776;1.23707;0.394152;1;1;0;0;
1.040;1.040;85.4909;-2.62881;3.09268;0.618535;0.549175;1;1;0;0;
1.080;1.080;85.4775;-2.53323;3.2694;0.353449;0.39153;1;1;0;0;
1.120;1.120;85.4616;-2.52669;2.65087;0.618535;0.686335;0;1;0;0;
1.160;1.160;85.0377;-2.37439;3.35776;1.4138;0.626888;1;1;0;0;
1.200;1.200;84.9147;-2.34239;3.18104;0.353449;0.557565;1;1;0;0;
1.240;1.240;84.6194;-2.32645;3.00431;0.883622;0.541854;1;1;0;0;
1.280;1.280;84.5698;-2.19513;3.18104;0.530173;0.440138;1;1;0;0;
1.320;1.320;84.3202;-2.05943;3.18104;1.06035;0.514359;1;1;0;0;
1.360;1.360;84.2532;-1.80293;2.91595;1.14871;0.586296;1;1;0;0;
1.400;1.400;83.9789;-1.6243;3.44613;1.23707;0.457524;1;1;0;0;
1.440;1.440;83.6975;-1.4669;2.91595;1.06035;0.586296;1;1;0;0;
1.480;1.480;83.4105;-1.45458;3.09268;0.883622;0.503474;1;1;0;0;
1.520;1.520;83.252;-1.36739;3.09268;0.530173;0.340096;1;1;0;0;
