"Number of header lines:";"39";
"Experiment";"26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min";
"System Independent Variable";
"Trial name";"Trial     5";
"Trial ID";"4";
"Arena name";"Peltier 6-1";
"Arena ID";"11";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"A";
"Detection settings";"Detection Settings";
"Trial Control settings";"LH_Protocol";
"Start time";"04/22/2017 15:09:44.017";
"Trial duration";"+ 00:07:00.040";
"Recording after";"+ 00:00:00.000";
"Recording duration";"+ 00:07:00.040";
"Track";"Track filet0004a0011o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"E:\Experiment\26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min\Media Files\Trial     5.mpg";
"Video start time";"04/22/2017 15:09:44.017";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"+ 00:07:00.040";
"Reference time";"04/22/2017 15:09:44.017";
"Sof file";"";
"Missed samples";"0.1 %";
"Subject not found";"0.1 %";
"User-defined Independent Variable";
"Peltier";"6";
"Sex";"male";
"Used";"Used";
"Experimenter";"Hu";
"Protocol";"A";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Movement";"Pretest";"Training";"Test";
"s";"s";"mm";"mm";"mm?";"mm?";"";"";"";"";"";
0.000;0.000;89.0001;11.0157;3.2694;6.62716;0.524187;"-";1;0;0;
0.040;0.040;"-";"-";"-";"-";"-";"-";1;0;0;
0.080;0.080;"-";"-";"-";"-";"-";"-";1;0;0;
0.120;0.120;"-";"-";"-";"-";"-";"-";1;0;0;
0.160;0.160;88.9811;11.0063;3.18104;0.0883622;0.510493;"-";1;0;0;
0.200;0.200;88.9488;10.9884;3.09268;0.0883622;0.499338;0;1;0;0;
0.240;0.240;88.9897;10.9311;3.00431;0.265087;0.541221;0;1;0;0;
0.280;0.280;89.0287;10.8499;2.82759;0.353449;0.689655;0;1;0;0;
0.320;0.320;88.7507;10.6912;3.09268;1.32543;0.533573;0;1;0;0;
0.360;0.360;88.4534;10.6912;3.09268;0.883622;0.533573;1;1;0;0;
0.400;0.400;88.3866;10.6799;3.18104;0.265087;0.514359;0;1;0;0;
0.440;0.440;88.1369;10.6868;3.00431;0.706898;0.526218;1;1;0;0;
0.480;0.480;88.0007;10.6022;3.00431;0.883622;0.435503;1;1;0;0;
0.520;0.520;87.7955;10.5409;3.35776;0.883622;0.510677;1;1;0;0;
0.560;0.560;87.6209;10.5072;3.00431;0.706898;0.421537;1;1;0;0;
0.600;0.600;87.5672;10.4536;3.00431;0.530173;0.413346;1;1;0;0;
0.640;0.640;87.4486;10.5917;2.91595;0.618535;0.450641;1;1;0;0;
0.680;0.680;87.3938;10.5527;3.18104;0.265087;0.332908;1;1;0;0;
0.720;0.720;87.19;10.5162;3.2694;0.971984;0.420425;1;1;0;0;
0.760;0.760;87.1323;10.5567;3.62285;0.530173;0.467631;0;1;0;0;
0.800;0.800;87.024;10.5951;3.44613;0.530173;0.457897;0;1;0;0;
0.840;0.840;86.9314;10.7052;3.18104;0.79526;0.369204;0;1;0;0;
0.880;0.880;86.8128;11.0323;2.82759;1.06035;0.386426;1;1;0;0;
0.920;0.920;86.7274;11.0491;3.18104;0.353449;0.354842;0;1;0;0;
0.960;0.960;86.6447;11.2661;3.09268;0.79526;0.35081;0;1;0;0;
1.000;1.000;86.5073;11.3453;3.35776;0.618535;0.387117;1;1;0;0;
1.040;1.040;86.3534;11.4444;3.18104;0.706898;0.549277;1;1;0;0;
1.080;1.080;86.1499;11.7027;2.91595;0.971984;0.450641;1;1;0;0;
1.120;1.120;86.0373;12.0082;3.53449;1.50216;0.405708;1;1;0;0;
1.160;1.160;86.0739;12.1969;3.2694;0.971984;0.501299;1;1;0;0;
1.200;1.200;86.0275;12.502;3.2694;1.4138;0.524187;1;1;0;0;
1.240;1.240;86.0753;12.778;3.09268;1.23707;0.543122;1;1;0;0;
1.280;1.280;86.272;12.9909;3.44613;1.23707;0.493434;1;1;0;0;
1.320;1.320;86.272;12.9909;3.44613;0;0.493434;1;1;0;0;
1.360;1.360;86.0678;12.964;3.35776;0.618535;0.510803;1;1;0;0;
1.400;1.400;85.8956;12.9545;3.09268;0.618535;0.39465;1;1;0;0;
1.440;1.440;85.6666;13.058;3.18104;1.32543;0.541022;1;1;0;0;
1.480;1.480;85.5566;12.9844;3.00431;0.530173;0.398151;1;1;0;0;
1.520;1.520;85.4467;12.977;3.62285;0.79526;0.408525;1;1;0;0;
1.560;1.560;85.0342;13.0625;3.62285;2.29742;0.580747;1;1;0;0;
1.600;1.600;84.9885;12.92;3.18104;0.441811;0.515148;1;1;0;0;
1.640;1.640;84.7225;12.9499;3.09268;1.14871;0.543122;1;1;0;0;
1.680;1.680;84.4542;12.8335;3.2694;1.59052;0.419767;1;1;0;0;
1.720;1.720;84.1425;12.9121;3.00431;1.32543;0.41144;1;1;0;0;
1.760;1.760;83.8143;12.8812;3.00431;1.23707;0.435503;1;1;0;0;
1.800;1.800;83.5175;12.9069;3.09268;0.971984;0.39465;1;1;0;0;
1.840;1.840;83.5294;12.7821;2.91595;0.530173;0.390896;1;1;0;0;
1.880;1.880;83.6438;12.4963;3.2694;1.59052;0.497336;1;1;0;0;
1.920;1.920;83.7183;12.3596;3.2694;0.706898;0.530602;1;1;0;0;
1.960;1.960;83.8098;12.3225;2.91595;0.530173;0.428762;1;1;0;0;
2.000;2.000;83.9515;12.1995;3.09268;1.06035;0.39465;1;1;0;0;
2.040;2.040;84.0125;11.8532;3.00431;1.32543;0.440001;1;1;0;0;
2.080;2.080;84.0012;11.2958;2.91595;2.03233;0.498489;1;1;0;0;
2.120;2.120;83.8267;11.1472;3.00431;0.79526;0.539485;1;1;0;0;
2.160;2.160;83.847;10.9715;2.82759;0.530173;0.423227;1;1;0;0;
2.200;2.200;83.8267;10.5527;3.00431;1.23707;0.539485;1;1;0;0;
2.240;2.240;83.8053;10.0057;3.18104;1.59052;0.514359;1;1;0;0;
2.280;2.280;83.7014;9.40382;3.2694;1.85561;0.530602;1;1;0;0;
2.320;2.320;83.6555;9.07627;3.35776;1.14871;0.490236;1;1;0;0;
2.360;2.360;83.5041;8.3693;2.73923;2.20905;0.416852;1;1;0;0;
2.400;2.400;83.3129;7.92687;3.2694;1.59052;0.48759;1;1;0;0;
2.440;2.440;83.0597;7.6076;3.2694;1.23707;0.488563;1;1;0;0;
2.480;2.480;83.04;7.14608;3.09268;1.59052;0.347351;1;1;0;0;
2.520;2.520;83.2119;6.86395;2.82759;1.50216;0.423227;1;1;0;0;
2.560;2.560;83.5294;6.83693;2.91595;1.32543;0.390896;1;1;0;0;
2.600;2.600;83.6781;6.83693;3.18104;0.618535;0.244431;1;1;0;0;
2.640;2.640;83.8345;7.03316;3.18104;1.06035;0.510493;1;1;0;0;
2.680;2.680;83.9533;7.27731;3.2694;1.14871;0.49157;1;1;0;0;
2.720;2.720;84.1287;7.57528;3.71121;1.67888;0.449964;1;1;0;0;
2.760;2.760;84.4122;7.71969;3.35776;1.59052;0.470309;1;1;0;0;
