"Number of header lines:";"39";
"Experiment";"26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min";
"System Independent Variable";
"Trial name";"Trial     7";
"Trial ID";"6";
"Arena name";"Peltier 8-1";
"Arena ID";"15";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"A";
"Detection settings";"Detection Settings";
"Trial Control settings";"LH_Protocol";
"Start time";"04/22/2017 15:35:45.328";
"Trial duration";"+ 00:07:00.040";
"Recording after";"+ 00:00:00.000";
"Recording duration";"+ 00:07:00.040";
"Track";"Track filet0006a0015o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"E:\Experiment\26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min\Media Files\Trial     7.mpg";
"Video start time";"04/22/2017 15:35:45.328";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"+ 00:07:00.040";
"Reference time";"04/22/2017 15:35:45.328";
"Sof file";"";
"Missed samples";"0.2 %";
"Subject not found";"0.2 %";
"User-defined Independent Variable";
"Peltier";"8";
"Sex";"male";
"Used";"Used";
"Experimenter";"Hu";
"Protocol";"A";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Movement";"Pretest";"Training";"Test";
"s";"s";"mm";"mm";"mm?";"mm?";"";"";"";"";"";
0.000;0.000;-23.5263;-84.1964;3.9763;7.59915;0.487552;"-";1;0;0;
0.040;0.040;"-";"-";"-";"-";"-";"-";1;0;0;
0.080;0.080;"-";"-";"-";"-";"-";"-";1;0;0;
0.120;0.120;"-";"-";"-";"-";"-";"-";1;0;0;
0.160;0.160;-23.3488;-84.433;3.9763;1.59052;0.407743;"-";1;0;0;
0.200;0.200;-23.5727;-85.0628;3.71121;2.91595;0.517462;1;1;0;0;
0.240;0.240;-23.4566;-85.2123;3.79957;1.14871;0.490383;1;1;0;0;
0.280;0.280;-23.3347;-85.313;3.88794;1.14871;0.559216;1;1;0;0;
0.320;0.320;-23.1896;-85.5911;3.53449;1.59052;0.612927;1;1;0;0;
0.360;0.360;-23.0296;-85.9405;4.06466;1.76724;0.482381;1;1;0;0;
0.400;0.400;-23.055;-86.4845;3.9763;1.85561;0.469582;1;1;0;0;
0.440;0.440;-22.9196;-86.748;3.62285;1.4138;0.627849;1;1;0;0;
0.480;0.480;-22.8312;-87.0862;3.9763;1.4138;0.485714;1;1;0;0;
0.520;0.520;-22.618;-87.625;3.71121;2.38578;0.592943;1;1;0;0;
0.560;0.560;-22.2943;-87.9531;3.79957;2.38578;0.594708;1;1;0;0;
0.600;0.600;-22.0914;-87.8013;3.71121;1.32543;0.376954;1;1;0;0;
0.640;0.640;-21.6616;-87.9373;4.06466;2.12069;0.495789;1;1;0;0;
0.680;0.680;-21.4351;-88.1122;3.79957;1.14871;0.453831;1;1;0;0;
0.720;0.720;-21.0543;-88.4072;3.88794;2.03233;0.419111;1;1;0;0;
0.760;0.760;-20.843;-88.6003;3.9763;0.971984;0.557328;1;1;0;0;
0.800;0.800;-20.4164;-88.9336;3.71121;2.38578;0.43324;1;1;0;0;
0.840;0.840;-19.8968;-89.3305;3.88794;2.29742;0.405382;1;1;0;0;
0.880;0.880;-19.5664;-89.8647;3.79957;2.20905;0.423823;1;1;0;0;
0.920;0.920;-19.2707;-90.1907;3.88794;1.67888;0.419111;1;1;0;0;
0.960;0.960;-18.9209;-90.7177;3.9763;2.20905;0.544675;1;1;0;0;
1.000;1.000;-18.5465;-91.0513;3.44613;2.12069;0.456779;1;1;0;0;
1.040;1.040;-17.8676;-91.8373;4.15302;3.53449;0.540868;1;1;0;0;
1.080;1.080;-17.4722;-92.3646;4.24139;2.5625;0.477253;1;1;0;0;
1.120;1.120;-17.2962;-92.4726;4.06466;0.883622;0.515032;1;1;0;0;
1.160;1.160;-16.8697;-92.6537;4.15302;2.38578;0.496687;1;1;0;0;
1.200;1.200;-16.5954;-92.5688;3.88794;1.67888;0.419111;1;1;0;0;
1.240;1.240;-16.1865;-92.459;3.9763;2.20905;0.381215;1;1;0;0;
1.280;1.280;-15.9426;-92.2213;3.9763;1.94397;0.3688;1;1;0;0;
1.320;1.320;-15.2992;-92.1573;3.9763;2.82759;0.392724;1;1;0;0;
1.360;1.360;-14.7449;-92.1805;4.06466;2.20905;0.416052;1;1;0;0;
1.400;1.400;-14.1416;-92.1776;3.9763;2.5625;0.375802;1;1;0;0;
1.440;1.440;-13.5646;-92.2213;3.9763;2.29742;0.3688;1;1;0;0;
1.480;1.480;-13.3654;-92.122;4.15302;1.06035;0.505982;1;1;0;0;
1.520;1.520;-12.8371;-92.0351;3.79957;2.29742;0.547423;1;1;0;0;
1.560;1.560;-12.0622;-91.7381;3.79957;3.53449;0.335911;1;1;0;0;
1.600;1.600;-11.34;-91.6758;3.88794;2.5625;0.501218;1;1;0;0;
1.640;1.640;-10.8499;-91.5554;3.35776;1.94397;0.508367;1;1;0;0;
1.680;1.680;-10.218;-91.3984;3.88794;2.47414;0.337148;1;1;0;0;
1.720;1.720;-9.69711;-91.1369;4.06466;2.82759;0.340308;1;1;0;0;
1.760;1.760;-9.00707;-90.5792;3.71121;3.88794;0.431059;1;1;0;0;
1.800;1.800;-8.41935;-90.1401;3.9763;3.09268;0.490734;1;1;0;0;
