"Number of header lines:";"39";
"Experiment";"26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min";
"System Independent Variable";
"Trial name";"Trial     5";
"Trial ID";"4";
"Arena name";"Peltier 7-1";
"Arena ID";"13";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"A";
"Detection settings";"Detection Settings";
"Trial Control settings";"LH_Protocol";
"Start time";"04/22/2017 15:09:44.017";
"Trial duration";"+ 00:07:00.040";
"Recording after";"+ 00:00:00.000";
"Recording duration";"+ 00:07:00.040";
"Track";"Track filet0004a0013o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"E:\Experiment\26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min\Media Files\Trial     5.mpg";
"Video start time";"04/22/2017 15:09:44.017";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"+ 00:07:00.040";
"Reference time";"04/22/2017 15:09:44.017";
"Sof file";"";
"Missed samples";"0.1 %";
"Subject not found";"1.7 %";
"User-defined Independent Variable";
"Peltier";"7";
"Sex";"male";
"Used";"Used";
"Experimenter";"Hu";
"Protocol";"A";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Movement";"Pretest";"Training";"Test";
"s";"s";"mm";"mm";"mm?";"mm?";"";"";"";"";"";
0.000;0.000;-96.0426;-84.3039;3.00431;5.56682;0.316198;"-";1;0;0;
0.040;0.040;"-";"-";"-";"-";"-";"-";1;0;0;
0.080;0.080;"-";"-";"-";"-";"-";"-";1;0;0;
0.120;0.120;"-";"-";"-";"-";"-";"-";1;0;0;
0.160;0.160;-96.0426;-84.459;2.65087;0.706898;0.398105;"-";1;0;0;
0.200;0.200;-95.8427;-84.8296;2.65087;1.4138;0.357454;1;1;0;0;
0.240;0.240;-95.7444;-84.9124;2.91595;0.441811;0.389077;1;1;0;0;
0.280;0.280;-95.7046;-85.1396;2.91595;0.883622;0.331652;1;1;0;0;
0.320;0.320;-95.853;-85.3285;3.09268;1.06035;0.299804;1;1;0;0;
0.360;0.360;-95.6108;-85.7801;3.35776;1.67888;0.44112;1;1;0;0;
0.400;0.400;-95.5849;-85.9036;3.18104;0.353449;0.369204;1;1;0;0;
0.440;0.440;-95.5904;-86.0616;3.2694;0.618535;0.49157;1;1;0;0;
0.480;0.480;-95.6017;-86.3092;3.35776;0.79526;0.442092;1;1;0;0;
0.520;0.520;-95.5889;-86.666;3.44613;1.32543;0.395013;1;1;0;0;
0.560;0.560;-95.5571;-86.9644;3.44613;1.06035;0.466236;1;1;0;0;
0.600;0.600;-95.5324;-87.1004;3.18104;0.441811;0.328071;1;1;0;0;
0.640;0.640;-95.6808;-87.2166;3.2694;0.971984;0.512387;1;1;0;0;
0.680;0.680;-95.7354;-87.2452;3.35776;0.441811;0.503818;1;1;0;0;
0.720;0.720;-95.9081;-87.2876;3.35776;0.883622;0.342852;1;1;0;0;
0.760;0.760;-96.0314;-87.5138;3.2694;0.971984;0.524187;1;1;0;0;
0.800;0.800;-96.2159;-87.5694;3.44613;0.883622;0.396047;1;1;0;0;
0.840;0.840;-96.4531;-87.7072;3.09268;1.06035;0.431087;1;1;0;0;
0.880;0.880;-96.6632;-87.625;3.18104;1.32543;0.579564;1;1;0;0;
0.920;0.920;-96.6868;-87.4486;3.00431;0.706898;0.463706;1;1;0;0;
0.960;0.960;-96.8686;-87.4031;3.2694;0.79526;0.497557;1;1;0;0;
1.000;1.000;-96.9915;-87.3316;3.18104;0.618535;0.521883;1;1;0;0;
1.040;1.040;-97.1939;-87.3751;3.2694;0.79526;0.493743;1;1;0;0;
1.080;1.080;-97.4433;-87.3123;2.82759;1.32543;0.49907;1;1;0;0;
1.120;1.120;-97.7517;-87.2878;2.73923;1.14871;0.562274;1;1;0;0;
1.160;1.160;-97.9121;-87.2928;3.18104;0.618535;0.541826;1;1;0;0;
1.200;1.200;-98.1923;-87.2797;3.2694;0.971984;0.561045;1;1;0;0;
1.240;1.240;-98.5067;-87.2928;3.18104;1.14871;0.541826;1;1;0;0;
1.280;1.280;-98.6896;-87.2452;3.00431;0.706898;0.457341;1;1;0;0;
1.320;1.320;-99.0677;-87.137;3.09268;1.67888;0.552088;1;1;0;0;
1.360;1.360;-99.4135;-87.1976;3.09268;1.06035;0.616161;1;1;0;0;
1.400;1.400;-99.5265;-87.2842;2.91595;0.530173;0.450641;1;1;0;0;
1.440;1.440;-99.8346;-87.5567;2.82759;1.14871;0.512379;1;1;0;0;
1.480;1.480;-99.8291;-87.5672;3.00431;0.176724;0.413346;1;1;0;0;
1.520;1.520;-99.9158;-87.5053;3.00431;0.353449;0.440001;1;1;0;0;
1.560;1.560;-100.028;-87.392;3.44613;0.971984;0.561745;1;1;0;0;
1.600;1.600;-100.121;-87.2842;2.91595;0.883622;0.450641;1;1;0;0;
1.640;1.640;-100.4;-87.3184;2.91595;0.883622;0.472623;1;1;0;0;
1.680;1.680;-100.713;-87.3123;2.82759;1.14871;0.49907;1;1;0;0;
1.720;1.720;-101.121;-87.584;3.18104;1.4138;0.581876;1;1;0;0;
1.760;1.760;-101.31;-87.5814;2.91595;0.618535;0.450641;1;1;0;0;
1.800;1.800;-101.216;-87.5424;3.18104;0.265087;0.549277;1;1;0;0;
1.840;1.840;-101.068;-87.3938;3.09268;0.618535;0.559751;1;1;0;0;
1.880;1.880;-100.914;-87.4203;3.44613;0.706898;0.596301;1;1;0;0;
1.920;1.920;-100.844;-87.3026;3.09268;0.530173;0.546836;1;1;0;0;
1.960;1.960;-100.973;-87.1419;3.00431;1.32543;0.563938;1;1;0;0;
2.000;2.000;-101.27;-87.1419;3.00431;1.23707;0.563938;1;1;0;0;
2.040;2.040;-101.321;-86.9622;2.82759;0.883622;0.512379;1;1;0;0;
2.080;2.080;-101.634;-87.1188;3.09268;0.971984;0.578928;1;1;0;0;
2.120;2.120;-101.643;-87.2174;2.65087;0.441811;0.606246;1;1;0;0;
2.160;2.160;-101.845;-87.3003;3.2694;0.79526;0.636636;1;1;0;0;
2.200;2.200;-101.953;-87.2384;2.82759;0.79526;0.535454;1;1;0;0;
2.240;2.240;-102.386;-87.2462;3.09268;1.50216;0.639094;1;1;0;0;
2.280;2.280;-102.703;-87.1956;3.00431;1.32543;0.625189;1;1;0;0;
2.320;2.320;-102.987;-87.2037;3.09268;0.971984;0.596955;1;1;0;0;
2.360;2.360;-103.187;-87.1805;2.91595;0.706898;0.486568;1;1;0;0;
2.400;2.400;-103.462;-87.051;3.18104;1.67888;0.572721;1;1;0;0;
2.440;2.440;-103.697;-86.8246;2.73923;1.67888;0.416852;1;1;0;0;
2.480;2.480;-103.892;-86.7993;3.00431;0.618535;0.539485;1;1;0;0;
2.520;2.520;-103.996;-86.698;2.91595;0.79526;0.521142;1;1;0;0;
2.560;2.560;-104.169;-86.5365;2.91595;1.23707;0.571197;1;1;0;0;
2.600;2.600;-104.337;-86.502;2.73923;0.530173;0.469176;1;1;0;0;
2.640;2.640;-104.139;-86.2564;3.00431;1.14871;0.541854;1;1;0;0;
2.680;2.680;-104.366;-86.2626;3.09268;0.618535;0.52905;1;1;0;0;
2.720;2.720;-104.418;-86.2452;3.09268;0.176724;0.552088;1;1;0;0;
2.760;2.760;-104.418;-86.2452;3.09268;0;0.552088;1;1;0;0;
2.800;2.800;-104.418;-86.2452;3.09268;0;0.552088;1;1;0;0;
2.840;2.840;-104.467;-86.1946;3.09268;0.353449;0.533573;0;1;0;0;
2.880;2.880;-104.686;-85.9075;3.18104;1.85561;0.496833;0;1;0;0;
2.920;2.920;-104.736;-85.852;3.18104;0.353449;0.54241;0;1;0;0;
2.960;2.960;-104.773;-85.583;3.18104;1.23707;0.515148;0;1;0;0;
3.000;3.000;-105.043;-85.4138;3.44613;1.14871;0.438319;1;1;0;0;
3.040;3.040;-105.288;-85.1809;3.35776;1.50216;0.439583;1;1;0;0;
3.080;3.080;-105.367;-84.9885;3.18104;0.883622;0.515148;1;1;0;0;
3.120;3.120;-105.517;-84.806;3.62285;1.14871;0.518896;1;1;0;0;
3.160;3.160;-105.628;-84.7107;3.18104;0.618535;0.510493;1;1;0;0;
3.200;3.200;-105.628;-84.7107;3.18104;0;0.510493;1;1;0;0;
3.240;3.240;-105.628;-84.7107;3.18104;0;0.510493;1;1;0;0;
3.280;3.280;-105.656;-84.7286;3.09268;0.0883622;0.533573;1;1;0;0;
3.320;3.320;-105.425;-84.7262;3.18104;0.618535;0.510493;1;1;0;0;
3.360;3.360;-105.104;-84.8586;2.73923;1.14871;0.686829;1;1;0;0;
3.400;3.400;-105.06;-85.0201;2.91595;0.883622;0.629953;1;1;0;0;
3.440;3.440;-104.913;-85.0206;2.65087;0.441811;0.470334;0;1;0;0;
3.480;3.480;-104.91;-85.1368;2.91595;0.441811;0.501848;0;1;0;0;
3.520;3.520;-104.635;-85.0157;3.09268;1.06035;0.559751;0;1;0;0;
3.560;3.560;-104.394;-84.9944;3.18104;0.971984;0.541022;0;1;0;0;
3.600;3.600;-104.337;-85.0157;3.09268;0.265087;0.559751;1;1;0;0;
3.640;3.640;-104.189;-84.8671;3.18104;0.618535;0.549277;1;1;0;0;
3.680;3.680;-104.137;-84.7825;3.00431;0.353449;0.407088;1;1;0;0;
3.720;3.720;-103.868;-84.7304;3.09268;0.971984;0.39465;1;1;0;0;
3.760;3.760;-103.743;-84.7185;2.91595;0.530173;0.390896;1;1;0;0;
3.800;3.800;-103.571;-84.6947;3.09268;0.706898;0.228215;1;1;0;0;
3.840;3.840;-103.456;-84.7016;3.00431;0.441811;0.384809;1;1;0;0;
3.880;3.880;-103.446;-84.5698;3.18104;0.353449;0.496689;1;1;0;0;
3.920;3.920;-103.269;-84.5473;3.35776;0.883622;0.483542;1;1;0;0;
3.960;3.960;-103.042;-84.5911;3.35776;1.06035;0.44112;1;1;0;0;
4.000;4.000;-102.968;-84.6902;3.00431;0.530173;0.316198;1;1;0;0;
4.040;4.040;-102.871;-84.4482;2.82759;1.06035;0.423227;1;1;0;0;
4.080;4.080;-102.715;-84.4057;3.09268;0.618535;0.299804;1;1;0;0;
4.120;4.120;-102.609;-84.3116;2.91595;0.706898;0.450641;1;1;0;0;
4.160;4.160;-102.538;-84.2852;3.09268;0.353449;0.299804;0;1;0;0;
4.200;4.200;-102.413;-84.2876;2.73923;0.353449;0.300778;0;1;0;0;
4.240;4.240;-102.272;-84.26;3.09268;0.530173;0.299804;0;1;0;0;
4.280;4.280;-102.108;-84.124;2.47414;0.971984;0.245557;1;1;0;0;
4.320;4.320;-101.95;-84.0917;2.73923;0.441811;0.408023;1;1;0;0;
4.360;4.360;-101.979;-84.0684;2.65087;0.0883622;0.408454;0;1;0;0;
4.400;4.400;-101.969;-83.859;2.73923;0.79526;0.408023;0;1;0;0;
4.440;4.440;-101.836;-83.879;2.38578;0.353449;0.258229;0;1;0;0;
4.480;4.480;-101.725;-83.8823;2.65087;0.265087;0.428579;0;1;0;0;
4.520;4.520;-101.793;-83.8401;2.38578;0.441811;0.221453;0;1;0;0;
4.560;4.560;-101.811;-83.8006;2.47414;0.265087;0.218295;0;1;0;0;
4.600;4.600;-101.662;-83.6781;2.29742;0.706898;0.599031;0;1;0;0;
4.640;4.640;-101.365;-83.6781;2.47414;0.706898;0.6;0;1;0;0;
4.680;4.680;-101.342;-83.688;2.38578;0.0883622;0.597214;0;1;0;0;
4.720;4.720;-101.384;-83.585;2.65087;0.441811;0.408454;0;1;0;0;
4.760;4.760;-101.514;-83.5555;2.47414;0.353449;0.218295;0;1;0;0;
4.800;4.800;-101.393;-83.5082;2.65087;0.530173;0.389189;0;1;0;0;
4.840;4.840;-101.258;-83.4919;2.47414;0.353449;0.276001;0;1;0;0;
4.880;4.880;-101.096;-83.5082;2.65087;0.530173;0.389189;0;1;0;0;
4.920;4.920;-101.077;-83.4972;2.73923;0.0883622;0.408023;0;1;0;0;
4.960;4.960;-101.087;-83.2878;2.65087;0.79526;0.408454;0;1;0;0;
5.000;5.000;-100.944;-83.2074;2.38578;0.618535;0.314317;0;1;0;0;
5.040;5.040;-100.735;-82.9629;2.5625;1.06035;0.53513;0;1;0;0;
5.080;5.080;-100.49;-82.8;2.91595;0.883622;0.428762;1;1;0;0;
5.120;5.120;-100.239;-82.5893;2.65087;1.14871;0.476404;1;1;0;0;
5.160;5.160;-99.8837;-82.376;2.5625;1.14871;0.50555;1;1;0;0;
5.200;5.200;-99.5814;-82.3404;2.73923;0.883622;0.469176;1;1;0;0;
5.240;5.240;-99.3111;-82.3201;2.82759;0.79526;0.423227;1;1;0;0;
5.280;5.280;-99.0045;-82.3514;2.82759;0.883622;0.37945;1;1;0;0;
5.320;5.320;-98.6896;-82.5716;2.73923;1.50216;0.413154;1;1;0;0;
5.360;5.360;-98.672;-82.6487;2.82759;0.441811;0.37945;1;1;0;0;
5.400;5.400;-98.277;-82.8466;3.35776;1.4138;0.38811;1;1;0;0;
5.440;5.440;-98.3462;-82.9257;2.73923;0.618535;0.401131;1;1;0;0;
5.480;5.480;-98.107;-83.1271;3.09268;1.23707;0.347351;1;1;0;0;
5.520;5.520;-98.0668;-83.3697;3.00431;0.971984;0.362973;1;1;0;0;
5.560;5.560;-97.778;-83.7907;3.2694;1.67888;0.356026;1;1;0;0;
5.600;5.600;-97.5313;-84.182;3.44613;1.76724;0.34093;1;1;0;0;
5.640;5.640;-97.3622;-84.4708;3.00431;1.14871;0.369167;1;1;0;0;
5.680;5.680;-97.3622;-84.4708;3.00431;0;0.369167;1;1;0;0;
5.720;5.720;-97.3519;-84.7185;3.18104;0.883622;0.332908;1;1;0;0;
5.760;5.760;-97.3393;-85.0313;3.09268;1.14871;0.299804;1;1;0;0;
5.800;5.800;-97.3454;-85.5953;3.2694;1.94397;0.312786;1;1;0;0;
5.840;5.840;-97.3218;-85.8803;3.18104;0.971984;0.373949;1;1;0;0;
5.880;5.880;-97.3259;-86.0251;3.53449;0.530173;0.392496;1;1;0;0;
5.920;5.920;-97.3314;-86.338;3.44613;1.14871;0.395013;1;1;0;0;
5.960;5.960;-97.3519;-86.6506;3.53449;1.14871;0.347105;1;1;0;0;
6.000;6.000;-97.3576;-87.066;3.18104;1.4138;0.281033;1;1;0;0;
6.040;6.040;-97.3116;-87.3718;3.2694;1.14871;0.225282;1;1;0;0;
6.080;6.080;-97.1637;-87.7978;3.79957;1.59052;0.394033;1;1;0;0;
6.120;6.120;-97.049;-87.8242;3.62285;0.530173;0.34797;1;1;0;0;
6.160;6.160;-97.0356;-87.691;3.18104;0.441811;0.283395;1;1;0;0;
6.200;6.200;-96.922;-87.7123;3.35776;0.353449;0.334389;1;1;0;0;
6.240;6.240;-96.6243;-87.5298;3.09268;1.50216;0.299804;1;1;0;0;
6.280;6.280;-96.325;-87.6776;3.53449;1.14871;0.31202;1;1;0;0;
6.320;6.320;-96.1688;-87.7208;3.09268;0.618535;0.35081;1;1;0;0;
6.360;6.360;-96.0298;-87.827;3.09268;0.530173;0.299804;1;1;0;0;
6.400;6.400;-95.9987;-87.8523;3.09268;0.176724;0.299804;1;1;0;0;
6.440;6.440;-95.9637;-87.7862;3.09268;0.353449;0.255781;1;1;0;0;
6.480;6.480;-96.0143;-87.5424;3.00431;0.971984;0.265663;1;1;0;0;
6.520;6.520;-95.986;-87.3726;2.65087;0.706898;0.389189;1;1;0;0;
6.560;6.560;-95.8656;-87.2452;2.65087;0.706898;0.168132;1;1;0;0;
6.600;6.600;-95.8491;-87.0838;2.5625;0.618535;0.224857;1;1;0;0;
6.640;6.640;-95.7508;-86.7858;2.82759;1.14871;0.386426;1;1;0;0;
6.680;6.680;-95.717;-86.502;2.5625;1.14871;0.475864;1;1;0;0;
6.720;6.720;-95.6014;-86.1882;2.38578;1.23707;0.272196;1;1;0;0;
6.760;6.760;-95.5684;-85.7589;2.65087;1.50216;0.344371;1;1;0;0;
6.800;6.800;-95.5609;-85.4913;2.5625;0.971984;0.398347;1;1;0;0;
6.840;6.840;-95.5309;-85.1873;2.65087;0.971984;0.357454;1;1;0;0;
6.880;6.880;-95.6814;-85.0437;2.5625;0.971984;0.501054;1;1;0;0;
6.920;6.920;-95.7218;-84.6991;2.65087;1.14871;0.470334;1;1;0;0;
6.960;6.960;-95.7837;-84.3412;3.18104;1.4138;0.521907;1;1;0;0;
7.000;7.000;-95.6355;-84.0667;2.82759;1.06035;0.49907;1;1;0;0;
7.040;7.040;-95.8266;-84.1788;2.91595;0.618535;0.450641;1;1;0;0;
7.080;7.080;-95.8266;-84.1788;2.91595;0;0.450641;1;1;0;0;
7.120;7.120;-95.8315;-84.1482;2.82759;0.0883622;0.480161;1;1;0;0;
7.160;7.160;-95.8266;-84.1788;2.91595;0.0883622;0.450641;1;1;0;0;
7.200;7.200;-95.8266;-84.1788;2.91595;0;0.450641;1;1;0;0;
7.240;7.240;-95.8266;-84.1788;2.91595;0;0.450641;0;1;0;0;
7.280;7.280;-95.8469;-84.1482;2.82759;0.265087;0.430371;0;1;0;0;
7.320;7.320;-95.8266;-84.1788;2.91595;0.265087;0.450641;0;1;0;0;
7.360;7.360;-95.8266;-84.1788;2.91595;0;0.450641;0;1;0;0;
7.400;7.400;-95.8266;-84.1788;2.91595;0;0.450641;0;1;0;0;
7.440;7.440;-95.8266;-84.1788;2.91595;0;0.450641;0;1;0;0;
7.480;7.480;-95.8266;-84.1788;2.91595;0;0.450641;0;1;0;0;
7.520;7.520;-95.8266;-84.1788;2.91595;0;0.450641;0;1;0;0;
7.560;7.560;-95.8513;-84.168;2.82759;0.0883622;0.512379;0;1;0;0;
7.600;7.600;-95.8266;-84.1788;2.91595;0.0883622;0.450641;0;1;0;0;
7.640;7.640;-95.8266;-84.1788;2.91595;0;0.450641;0;1;0;0;
7.680;7.680;-95.8859;-84.1577;2.82759;0.265087;0.518358;0;1;0;0;
7.720;7.720;-95.8266;-84.1788;2.91595;0.265087;0.450641;0;1;0;0;
7.760;7.760;-95.8783;-84.17;2.73923;0.176724;0.545645;0;1;0;0;
7.800;7.800;-95.8347;-84.1673;3.00431;0.265087;0.421141;0;1;0;0;
7.840;7.840;-95.8859;-84.1577;2.82759;0.176724;0.518358;0;1;0;0;
7.880;7.880;-95.8783;-84.17;2.73923;0.0883622;0.545645;0;1;0;0;
7.920;7.920;-95.8783;-84.17;2.73923;0;0.545645;0;1;0;0;
7.960;7.960;-95.8266;-84.1788;2.91595;0.176724;0.450641;0;1;0;0;
8.000;8.000;-95.8783;-84.17;2.73923;0.176724;0.545645;0;1;0;0;
8.040;8.040;-95.8783;-84.17;2.73923;0;0.545645;0;1;0;0;
8.080;8.080;-95.8347;-84.1673;3.00431;0.265087;0.421141;0;1;0;0;
8.120;8.120;-95.8266;-84.1788;2.91595;0.0883622;0.450641;0;1;0;0;
8.160;8.160;-95.8266;-84.1788;2.91595;0;0.450641;0;1;0;0;
8.200;8.200;-95.8783;-84.17;2.73923;0.176724;0.545645;0;1;0;0;
8.240;8.240;-95.8783;-84.17;2.73923;0;0.545645;0;1;0;0;
8.280;8.280;-95.8266;-84.1788;2.91595;0.176724;0.450641;0;1;0;0;
8.320;8.320;-95.9895;-84.2974;2.38578;0.706898;0.314317;0;1;0;0;
8.360;8.360;-95.9659;-84.1868;2.65087;0.265087;0.476404;0;1;0;0;
8.400;8.400;-95.8915;-84.124;2.91595;0.265087;0.498489;0;1;0;0;
8.440;8.440;-95.8915;-84.124;2.91595;0;0.498489;0;1;0;0;
8.480;8.480;-95.9889;-84.17;2.73923;0.353449;0.416852;0;1;0;0;
8.520;8.520;-96.0143;-84.124;2.73923;0.176724;0.469176;0;1;0;0;
8.560;8.560;-96.2383;-84.0335;2.91595;1.23707;0.58745;0;1;0;0;
8.600;8.600;-96.2807;-83.8707;2.91595;0.530173;0.407404;0;1;0;0;
8.640;8.640;-96.3225;-83.8443;2.82759;0.265087;0.37945;0;1;0;0;
8.680;8.680;-96.3221;-83.8098;3.00431;0.176724;0.384809;0;1;0;0;
