"Number of header lines:";"39";
"Experiment";"26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min";
"System Independent Variable";
"Trial name";"Trial     5";
"Trial ID";"4";
"Arena name";"Peltier 5-2";
"Arena ID";"8";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"A";
"Detection settings";"Detection Settings";
"Trial Control settings";"LH_Protocol";
"Start time";"04/22/2017 15:09:44.017";
"Trial duration";"+ 00:07:00.040";
"Recording after";"+ 00:00:00.000";
"Recording duration";"+ 00:07:00.040";
"Track";"Track filet0004a0008o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"E:\Experiment\26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min\Media Files\Trial     5.mpg";
"Video start time";"04/22/2017 15:09:44.017";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"+ 00:07:00.040";
"Reference time";"04/22/2017 15:09:44.017";
"Sof file";"";
"Missed samples";"0.1 %";
"Subject not found";"0.1 %";
"User-defined Independent Variable";
"Peltier";"5";
"Sex";"male";
"Used";"Used";
"Experimenter";"Hu";
"Protocol";"A";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Movement";"Pretest";"Training";"Test";
"s";"s";"mm";"mm";"mm?";"mm?";"";"";"";"";"";
0.000;0.000;4.95739;-2.89052;3.88794;6.00863;0.371899;"-";1;0;0;
0.040;0.040;"-";"-";"-";"-";"-";"-";1;0;0;
0.080;0.080;"-";"-";"-";"-";"-";"-";1;0;0;
0.120;0.120;"-";"-";"-";"-";"-";"-";1;0;0;
0.160;0.160;4.88717;-2.69929;3.79957;0.971984;0.569045;"-";1;0;0;
0.200;0.200;4.75612;-2.52669;3.35776;1.14871;0.508367;1;1;0;0;
0.240;0.240;4.77964;-2.38982;3.62285;0.441811;0.600682;1;1;0;0;
0.280;0.280;4.84667;-1.91168;3.53449;1.50216;0.457776;1;1;0;0;
0.320;0.320;4.68346;-1.67951;3.62285;1.50216;0.421284;1;1;0;0;
0.360;0.360;4.65065;-1.40958;3.79957;1.06035;0.371819;1;1;0;0;
0.400;0.400;4.6027;-1.36803;3.71121;0.265087;0.364316;1;1;0;0;
0.440;0.440;4.613;-1.3526;3.79957;0.0883622;0.383652;1;1;0;0;
0.480;0.480;4.613;-1.3526;3.79957;0;0.383652;1;1;0;0;
0.520;0.520;4.49967;-1.38526;3.18104;0.618535;0.498562;1;1;0;0;
0.560;0.560;4.35618;-1.59078;3.35776;1.06035;0.415269;1;1;0;0;
0.600;0.600;4.29275;-1.4688;3.9763;0.79526;0.469582;1;1;0;0;
0.640;0.640;4.17062;-1.35477;3.44613;0.883622;0.506601;1;1;0;0;
0.680;0.680;4.10521;-1.22867;3.88794;0.79526;0.505347;0;1;0;0;
0.720;0.720;4.08471;-1.22748;3.9763;0.0883622;0.467902;0;1;0;0;
0.760;0.760;4.11357;-1.21155;3.9763;0.176724;0.516309;0;1;0;0;
0.800;0.800;4.1113;-1.28812;3.88794;0.265087;0.528951;0;1;0;0;
0.840;0.840;4.17096;-1.61716;3.2694;1.32543;0.501299;0;1;0;0;
0.880;0.880;4.15107;-1.76668;3.00431;0.441811;0.384809;0;1;0;0;
