"Number of header lines:";"39";
"Experiment";"26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min";
"System Independent Variable";
"Trial name";"Trial     8";
"Trial ID";"7";
"Arena name";"Peltier 8-2";
"Arena ID";"14";
"Subject name";"Subject 1";
"Subject ID";"0";
"Arena settings";"B";
"Detection settings";"Detection Settings";
"Trial Control settings";"LH_Protocol";
"Start time";"04/22/2017 15:48:29.797";
"Trial duration";"+ 00:07:00.040";
"Recording after";"+ 00:00:00.000";
"Recording duration";"+ 00:07:00.040";
"Track";"Track filet0007a0014o0000_0001.trk";
"Tracking source";"Basler GenICam [Basler acA1300-60]";
"Video file";"E:\Experiment\26th Exp_20170421_LH_2 frames_Lightbox+2 White LED_25 30C_1min 4min 2min\Media Files\Trial     8.mpg";
"Video start time";"04/22/2017 15:48:29.797";
"Trial status";"2";
"Acquisition status";"Acquired";
"Track status";"Acquired";
"Video file status";"Generated";
"Sync status";"Not available";
"Reference duration";"+ 00:07:00.040";
"Reference time";"04/22/2017 15:48:29.797";
"Sof file";"";
"Missed samples";"0.1 %";
"Subject not found";"0.1 %";
"User-defined Independent Variable";
"Peltier";"8";
"Sex";"male";
"Used";"Used";
"Experimenter";"Hu";
"Protocol";"B";
" ";
"Trial time";"Recording time";"X center";"Y center";"Area";"Areachange";"Elongation";"Movement";"Pretest";"Training";"Test";
"s";"s";"mm";"mm";"mm?";"mm?";"";"";"";"";"";
0.000;0.000;-15.9743;-87.3362;3.53166;6.88674;0.616245;"-";1;0;0;
0.040;0.040;"-";"-";"-";"-";"-";"-";1;0;0;
0.080;0.080;"-";"-";"-";"-";"-";"-";1;0;0;
0.120;0.120;"-";"-";"-";"-";"-";"-";1;0;0;
0.160;0.160;-16.0455;-87.2103;3.88483;0.706332;0.504303;"-";1;0;0;
0.200;0.200;-16.1557;-87.1559;3.70824;0.529749;0.376954;0;1;0;0;
0.240;0.240;-16.1495;-87.1343;3.61995;0.0882915;0.421284;0;1;0;0;
0.280;0.280;-16.3148;-86.9688;3.79654;1.23608;0.53914;0;1;0;0;
0.320;0.320;-16.2714;-86.7993;3.53166;0.794624;0.620854;0;1;0;0;
0.360;0.360;-16.4436;-86.7859;3.17849;0.529749;0.514359;0;1;0;0;
0.400;0.400;-16.4869;-86.669;3.44337;0.618041;0.461959;0;1;0;0;
0.440;0.440;-16.9158;-86.6753;3.70824;1.50096;0.605186;1;1;0;0;
0.480;0.480;-17.4596;-86.667;3.88483;1.94241;0.511747;1;1;0;0;
0.520;0.520;-17.7804;-86.5776;3.70824;1.41266;0.494861;1;1;0;0;
0.560;0.560;-18.0327;-86.5838;3.79654;0.794624;0.488999;1;1;0;0;
